City,Population,Latitude,Longitude
Tokyo,37400068,35.695126,139.75391
Delhi,28514000,24.734319,81.334404
Shanghai,25582000,31.246027,121.483385
São Paulo,21650000,-1.32311,-47.504873
Mexico City,21581000,19.371422,-99.150344
Cairo,20076000,30.06263,31.24967
Mumbai,19980000,19.10109,72.875449
Beijing,19618000,39.937967,116.417592
Dhaka,19578000,23.7104,90.40744
Osaka,19281000,34.671654,135.501902
New York,18819000,40.68295,-73.9708
Karachi,15400000,24.984695,67.238928
Buenos Aires,14967000,-34.607357,-58.454595
Chongqing,14838000,29.565015,106.548238
Istanbul,14751000,41.239403,28.409152
Kolkata,14681000,22.550437,88.362561
Manila,13482000,14.6042,120.9822
Lagos,13463000,6.550449,3.574901
Rio de Janeiro,13293000,-22.935024,-43.518246
Tianjin,13215000,39.107355,117.185182
